track_name,artist_name,artist_popularity,artist_genres,artist_followers,track_popularity,track_acousticness,track_danceability,track_duration_ms,track_energy,track_instrumentalness,track_loudness,track_tempo,track_valence
Rich Spirit,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,85,0.428,0.852,202285,0.421,2.28E-06,-9.153,95.977,0.457
Late Night Talking,Harry Styles,94,pop,21002505,92,0.298,0.714,177955,0.728,0,-4.595,114.996,0.901
WAIT FOR U (feat. Drake & Tems),Future,89,"atl hip hop, rap, southern hip hop, trap",11585626,88,0.314,0.463,189893,0.642,0,-4.474,83.389,0.339
Party,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,93,0.0151,0.829,227629,0.799,0.000543,-5.389,97.013,0.471
Count Me Out,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,84,0.671,0.776,283642,0.431,0,-7.544,133.999,0.495
Worldwide Steppers,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,83,0.753,0.514,203367,0.472,0.00012,-11.106,77.215,0.557
Savior,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,83,0.495,0.605,224466,0.692,0,-7.45,124.84,0.685
We Cry Together,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,83,0.292,0.648,341307,0.68,0,-7.276,106.89,0.504
Purple Hearts,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,83,0.167,0.567,329295,0.824,2.65E-06,-6.973,138.202,0.737
Music For a Sushi Restaurant,Harry Styles,94,pop,21002505,89,0.258,0.72,193813,0.715,0.0568,-4.652,107.041,0.357
Matilda,Harry Styles,94,pop,21002505,89,0.896,0.507,245964,0.294,1.97E-05,-10,114.199,0.386
Ojitos Lindos,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,95,0.08,0.647,258299,0.686,1.34E-06,-5.745,79.928,0.268
Grapejuice,Harry Styles,94,pop,21002505,88,0.357,0.645,191959,0.721,0.143,-4.394,182.928,0.88
Daylight,Harry Styles,94,pop,21002505,88,0.484,0.686,164533,0.445,0.00144,-7.189,145.5,0.626
Little Freak,Harry Styles,94,pop,21002505,88,0.719,0.559,202183,0.535,0.000143,-7.723,141.96,0.402
Mr. Morale,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,81,0.283,0.727,210841,0.53,2.76E-05,-8.616,174.025,0.258
Tarot,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,91,0.0225,0.795,237895,0.684,0,-3.971,114.011,0.419
Rich - Interlude,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,81,0.864,0.481,103319,0.406,0.000315,-11.52,91.589,0.741
Crown,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,80,0.801,0.355,264299,0.245,9.11E-05,-13.475,173.329,0.162
Un Ratito,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,90,0.305,0.787,176936,0.546,4.55E-05,-7.094,93.05,0.222
Cinema,Harry Styles,94,pop,21002505,87,0.354,0.829,243508,0.644,0.0511,-7.696,105.993,0.896
Satellite,Harry Styles,94,pop,21002505,87,0.143,0.576,218577,0.457,3.05E-05,-6.473,138.984,0.301
Keep Driving,Harry Styles,94,pop,21002505,87,0.321,0.721,140242,0.479,0.00156,-9.669,164.948,0.902
You Proof,Morgan Wallen,84,contemporary country,3415943,81,0.252,0.731,157478,0.85,0,-4.913,119.706,0.644
Auntie Diaries,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,80,0.745,0.52,281070,0.375,0.0122,-13.409,127.544,0.589
Daydreaming,Harry Styles,94,pop,21002505,87,0.311,0.707,187342,0.811,0.0152,-5.298,113.971,0.899
Dua Lipa,Jack Harlow,88,"deep underground hip hop, kentucky hip hop, rap",2159939,85,0.00161,0.833,135053,0.652,0.0985,-6.942,158.022,0.405
Savior - Interlude,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,79,0.807,0.618,152986,0.43,0,-9.38,117.125,0.826
Mirror,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,80,0.225,0.652,256008,0.67,1.40E-05,-8.766,91.933,0.274
As It Was,Harry Styles,94,pop,21002505,89,0.342,0.52,167303,0.731,0.00101,-5.338,173.93,0.662
Love Of My Life,Harry Styles,94,pop,21002505,87,0.669,0.555,191638,0.536,0,-8.233,118.057,0.203
Yo No Soy Celoso,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,89,0.275,0.872,230704,0.588,0,-6.276,142.004,0.93
PROVENZA,KAROL G,87,"latin, reggaeton, reggaeton colombiano",24898397,93,0.656,0.87,210200,0.516,0.00823,-8.006,111.005,0.53
Mother I Sober (feat. Beth Gibbons of Portishead),Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,79,0.87,0.492,406528,0.369,2.85E-05,-14.861,140.012,0.491
Boyfriends,Harry Styles,94,pop,21002505,86,0.935,0.417,194544,0.202,0,-10.976,118.029,0.323
Boyfriend,Dove Cameron,73,"pop, post-teen pop",3457935,88,0.232,0.345,153000,0.612,0,-6.543,179.773,0.232
Efecto,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,90,0.141,0.801,213061,0.475,1.73E-05,-8.797,98.047,0.234
Neverita,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,89,0.0706,0.876,173119,0.498,0,-7.511,122.016,0.428
PUFFIN ON ZOOTIEZ,Future,89,"atl hip hop, rap, southern hip hop, trap",11585626,81,0.0603,0.883,172933,0.657,0,-5.748,124.992,0.284
La Corriente,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,89,0.229,0.663,198367,0.786,0,-3.51,196.12,0.579
MAMIII,Becky G,81,"dance pop, latin, latin viral pop, rap latina, reggaeton",11553692,91,0.0934,0.843,226088,0.7,0,-3.563,93.991,0.899
Cooped Up (with Roddy Ricch),Post Malone,87,"dfw rap, melodic rap, rap",36990052,86,0.038,0.669,185857,0.773,0,-5.619,93.923,0.377
Thousand Miles,The Kid LAROI,83,australian hip hop,3722253,87,0.0858,0.376,164782,0.657,0,-4.658,80.565,0.203
Something in the Orange,Zach Bryan,79,oklahoma country,416727,80,0.555,0.369,228013,0.192,8.35E-06,-12.151,175.212,0.148
Don't Think Jesus,Morgan Wallen,84,contemporary country,3415943,78,0.469,0.578,226975,0.431,0,-7.034,116.979,0.21
Otro Atardecer,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,87,0.59,0.777,244444,0.595,0.00139,-6.79,108.02,0.546
pushin P (feat. Young Thug),Gunna,85,"atl hip hop, melodic rap, rap, trap",4312479,83,0.00783,0.773,136267,0.422,0.00693,-4.572,77.502,0.488
Bam Bam (feat. Ed Sheeran),Camila Cabello,83,"dance pop, pop, post-teen pop",26802962,90,0.182,0.756,206071,0.697,0,-6.377,94.996,0.956
Aguacero,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,88,0.423,0.861,210989,0.645,0.000592,-6.96,121.391,0.668
Andrea,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,88,0.762,0.797,339612,0.616,0.000293,-10.229,103.071,0.451
El Apagón,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,86,0.0509,0.629,201816,0.698,0.00166,-4.485,117.765,0.599
Dos Mil 16,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,88,0.123,0.817,208615,0.67,1.92E-06,-6.534,130.058,0.495
I'M ON ONE (feat. Drake),Future,89,"atl hip hop, rap, southern hip hop, trap",11585626,81,0.0103,0.773,236187,0.707,1.04E-05,-5.71,76.977,0.113
MIA,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,4,0.0141,0.817,210368,0.539,0.000496,-6.349,97.061,0.158
MIA,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,3,0.0141,0.817,210368,0.539,0.000496,-6.349,97.061,0.158
MIA,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,4,0.0141,0.817,210368,0.539,0.000496,-6.349,97.061,0.158
MIA,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,4,0.0141,0.817,210368,0.539,0.000496,-6.349,97.061,0.158
Numb Little Bug,Em Beihold,68,"alt z, gen z singer-songwriter",218091,83,0.327,0.742,169238,0.527,0,-6.892,84.974,0.638
Right On,Lil Baby,88,"atl hip hop, atl trap, rap, trap",10549680,80,0.0245,0.535,213976,0.618,0,-5.668,165.991,0.211
Un Coco,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,88,0.207,0.839,196413,0.69,8.33E-06,-4.464,151.991,0.744
she's all i wanna be,Tate McRae,80,pop,2795593,86,0.0134,0.614,206772,0.644,7.07E-06,-5.372,160.036,0.651
Churchill Downs (feat. Drake),Jack Harlow,88,"deep underground hip hop, kentucky hip hop, rap",2159939,82,0.615,0.71,309327,0.522,0,-9.102,96.448,0.37
Nail Tech,Jack Harlow,88,"deep underground hip hop, kentucky hip hop, rap",2159939,81,0.00508,0.677,206385,0.557,8.36E-06,-8.409,150.127,0.1
Enséñame a Bailar,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,87,0.191,0.81,176000,0.789,1.08E-05,-5.08,105.009,0.77
In My Head,Lil Tjay,81,"brooklyn drill, melodic rap, nyc rap",5120917,84,0.159,0.684,135264,0.545,0,-6.885,143.049,0.407
Me Fui de Vacaciones,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,89,0.229,0.714,180930,0.645,0.00083,-5.493,85.046,0.434
Sweetest Pie,Megan Thee Stallion,81,"dance pop, houston rap, pop, trap queen",6602472,85,0.167,0.814,201334,0.628,0,-7.178,123.977,0.677
Un Verano Sin Ti,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,87,0.693,0.503,148143,0.496,0,-9.123,187.844,0.412
The Heart Part 5,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,81,0.183,0.7,332229,0.812,0,-8.128,97.405,0.801
N95,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,57,0.418,0.812,195950,0.669,4.16E-06,-5.569,140.01,0.42
Die Hard,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,58,0.317,0.777,239027,0.737,0.00112,-8.06,100.976,0.361
United In Grief,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,54,0.242,0.698,255378,0.844,0,-8.143,87.393,0.333
Father Time (feat. Sampha),Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,53,0.19,0.53,222497,0.759,0,-5.103,152.79,0.487
Worldwide Steppers,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,51,0.746,0.521,203367,0.47,0.000245,-11.147,77.375,0.51
Rich Spirit,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,51,0.45,0.855,202285,0.437,1.52E-05,-9.082,96.035,0.397
We Cry Together,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,50,0.224,0.614,341307,0.646,0,-7.876,142.385,0.423
Count Me Out,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,51,0.686,0.78,283642,0.404,0,-7.512,133.989,0.496
Purple Hearts,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,50,0.157,0.603,329295,0.821,1.44E-05,-7.025,138.139,0.739
Silent Hill,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,50,0.434,0.902,220779,0.56,0.000218,-6.685,140.049,0.807
Savior,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,49,0.507,0.607,224466,0.689,0,-7.573,123.286,0.672
What Happened To Virgil (feat. Gunna),Lil Durk,84,"chicago drill, chicago rap, drill, hip hop, rap, trap",4075650,79,0.067,0.795,181393,0.526,2.00E-06,-9.086,140.037,0.194
Mr. Morale,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,49,0.282,0.733,210841,0.532,4.11E-05,-8.621,174.018,0.272
Rich - Interlude,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,49,0.864,0.433,103319,0.394,0.000771,-11.602,84.02,0.695
Crown,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,47,0.792,0.353,264299,0.247,8.15E-05,-13.472,176.239,0.161
Mirror,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,46,0.218,0.654,256008,0.675,1.42E-05,-8.766,91.862,0.269
Mother I Sober (feat. Beth Gibbons of Portishead),Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,46,0.868,0.491,406528,0.368,2.45E-05,-14.828,140.309,0.514
Auntie Diaries,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,46,0.747,0.613,281070,0.374,0.0167,-13.53,127.628,0.622
Savior - Interlude,Kendrick Lamar,92,"conscious hip hop, hip hop, rap, west coast rap",20409485,45,0.778,0.711,152986,0.397,0,-9.323,117.87,0.819
10 Things I Hate About You,Leah Kate,69,"alt z, pop",78687,84,0.00991,0.544,157138,0.786,0,-2.97,153.967,0.446
Thought You Should Know,Morgan Wallen,84,contemporary country,3415943,77,0.488,0.529,215572,0.695,1.24E-05,-6.174,139.993,0.514
Light Switch,Charlie Puth,80,"dance pop, pop, viral pop",16205866,86,0.105,0.69,185681,0.626,0.000335,-5.693,184.009,0.912
Agosto,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,86,0.0929,0.849,139041,0.584,6.18E-06,-8.195,115.018,0.724
When You're Gone,Shawn Mendes,84,"canadian pop, pop, viral pop",37912931,86,0.0248,0.603,172267,0.691,0,-5.805,147.148,0.577
Flowers,Lauren Spencer-Smith,72,"alt z, gen z singer-songwriter, pop",669484,82,0.869,0.684,157373,0.449,0,-9.738,66.165,0.341
Fingers Crossed,Lauren Spencer-Smith,72,"alt z, gen z singer-songwriter, pop",669484,83,0.618,0.56,175345,0.473,0,-7.23,109.414,0.441
Banking On Me,Gunna,85,"atl hip hop, melodic rap, rap, trap",4312479,78,0.613,0.793,200000,0.308,1.68E-05,-10.414,135.143,0.46
X ÚLTIMA VEZ,Daddy Yankee,88,"latin, latin hip hop, reggaeton, trap latino",27623489,89,0.0789,0.812,192477,0.855,0.000167,-3.725,90.04,0.573
P power (feat. Drake),Gunna,85,"atl hip hop, melodic rap, rap, trap",4312479,78,0.0199,0.828,193347,0.591,0.000323,-6.217,119.251,0.202
Soy El Unico,Yahritza Y Su Esencia,67,nueva musica mexicana,152573,81,0.451,0.708,214000,0.449,0,-4.369,84.396,0.63
In A Minute,Lil Baby,88,"atl hip hop, atl trap, rap, trap",10549680,79,0.0336,0.643,200471,0.605,0,-5.968,84.216,0.145
Freaky Deaky,Tyga,80,"dance pop, hip hop, pop, pop rap, rap, southern hip hop, trap",6584136,81,0.019,0.799,215281,0.653,0,-5.453,104.019,0.236
This Love (Taylor’s Version),Taylor Swift,92,pop,53613642,82,0.302,0.47,250100,0.494,0,-8.672,144.039,0.0524
In The Stars,Benson Boone,71,pop,323608,85,0.338,0.362,216410,0.54,0,-6.031,78.007,0.3
Bones,Imagine Dragons,87,"modern rock, rock",40280264,86,0.0206,0.773,165265,0.742,0,-3.678,114.071,0.571
Callaita,Bad Bunny,100,"latin, reggaeton, trap latino",49024244,84,0.597,0.608,250534,0.626,2.16E-06,-4.773,176.086,0.246
Bestie,DaBaby,83,"north carolina hip hop, rap, trap",9667695,77,0.0741,0.807,111971,0.625,0,-6.67,146.031,0.871
First Class,Jack Harlow,88,"deep underground hip hop, kentucky hip hop, rap",2159939,83,0.111,0.902,173948,0.582,3.18E-06,-5.902,107.005,0.332
Plan B,Megan Thee Stallion,81,"dance pop, houston rap, pop, trap queen",6602472,77,0.0668,0.787,163765,0.522,0,-5.872,170.439,0.666
Honest (feat. Don Toliver),Justin Bieber,91,"canadian pop, pop",61196308,84,0.127,0.81,193322,0.655,8.16E-05,-6.779,150.002,0.809
Fancy Like,Walker Hayes,67,"contemporary country, country, country road, modern country rock",468897,77,0.111,0.647,161853,0.765,0,-6.459,79.994,0.855
Rocking A Cardigan in Atlanta,lil Shordie Scott,62,,23391,78,0.583,0.803,96826,0.64,0.000331,-4.721,140.073,0.816
IDGAF (with blackbear),BoyWithUke,78,,1401969,81,0.426,0.783,140665,0.75,0,-5.762,97.953,0.88
Rumors (feat. Lil Durk),Gucci Mane,77,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",4337750,76,0.0499,0.688,185856,0.842,0,-4.211,159.897,0.416
Whiskey On You,Nate Smith,64,contemporary country,96118,76,7.02E-05,0.479,183790,0.768,0.00549,-5.204,110.024,0.576
True Love,Kanye West,90,"chicago rap, rap",17355037,78,0.0182,0.712,148571,0.861,6.09E-06,-5.487,84.042,0.388
Out of Time,The Weeknd,91,"canadian contemporary r&b, canadian pop, pop",45206489,81,0.255,0.65,214194,0.76,0,-4.422,93.057,0.838
Cigarettes,Juice WRLD,88,"chicago rap, melodic rap",24114636,77,0.0306,0.587,227527,0.614,0,-6.344,160.075,0.451
Poppin,Yeat,80,"pluggnb, rap",777203,76,0.262,0.705,167187,0.613,6.97E-06,-7.441,74.521,0.259
712PM,Future,89,"atl hip hop, rap, southern hip hop, trap",11585626,76,0.0355,0.711,173187,0.686,0,-6.409,146.971,0.536
Fall In Love,Bailey Zimmerman,62,,81946,75,0.451,0.524,232059,0.643,0,-6.055,135.962,0.397
PUFFIN ON ZOOTIEZ,Future,89,"atl hip hop, rap, southern hip hop, trap",11585626,76,0.0603,0.883,172933,0.657,0,-5.748,124.992,0.284
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,88,"dance pop, pop",19072872,80,0.0777,0.801,182907,0.601,3.23E-05,-7.574,159.969,0.74
Scrape It Off (feat. Lil Uzi Vert & Don Toliver),Pusha T,76,"hip hop, rap, southern hip hop, trap, underground hip hop, virginia hip hop",2455825,77,0.484,0.594,152613,0.679,7.83E-06,-3.702,106.726,0.66
Wild as Her,Corey Kent,59,"contemporary country, country pop",19566,74,0.00331,0.497,201639,0.726,0,-6.018,147.91,0.418
Hold That Heat (feat. Travis Scott),Southside,62,atl hip hop,57077,77,0.0295,0.744,221538,0.608,0,-6.386,130.045,0.0692
Petty Too (feat. Future),Lil Durk,84,"chicago drill, chicago rap, drill, hip hop, rap, trap",4075650,75,0.0109,0.824,159927,0.577,0,-9.443,154.081,0.442
She Had Me At Heads Carolina,Cole Swindell,67,"contemporary country, country, country road, modern country rock",1805267,74,0.124,0.607,206107,0.912,0,-3.449,134.944,0.722
Sometimes,Juice WRLD,88,"chicago rap, melodic rap",24114636,76,0.0609,0.674,259672,0.58,0,-4.866,121.987,0.0759
Una Noche en Medellín,Cris Mj,79,"mambo chileno, urbano chileno",365921,91,0.0924,0.87,153750,0.548,4.60E-05,-5.253,96.018,0.832
That That (prod. & feat. SUGA of BTS),PSY,72,"k-pop, k-rap, korean old school hip hop",1374529,86,0.0299,0.905,174647,0.962,0,-3.197,129.969,0.906
Surround Sound (feat. 21 Savage & Baby Tate),JID,79,"hip hop, rap, underground hip hop",875316,75,0.156,0.57,229938,0.573,0,-6.935,76.006,0.517
"Shake It (feat. Cardi B, Dougie B & Bory300)",Kay Flock,66,"bronx drill, new york drill",211785,76,0.0353,0.87,118249,0.835,0,-5.875,140.051,0.901
HANDSOMER (Remix) (Feat. Ktlyn),Russ,77,"hawaiian hip hop, rap",4420525,74,0.176,0.891,143415,0.62,1.59E-06,-6.822,82.035,0.535
I'M DAT N****,Future,89,"atl hip hop, rap, southern hip hop, trap",11585626,74,0.0112,0.911,271840,0.573,5.83E-05,-5.573,144.026,0.145
Nobody Like U,4*TOWN (From Disney and Pixar’s Turning Red),66,disney,230725,79,0.129,0.905,160947,0.631,0,-10.06,105.026,0.751
LOVE YOU BETTER,Future,89,"atl hip hop, rap, southern hip hop, trap",11585626,75,0.478,0.709,129480,0.357,0.000294,-9.289,75.494,0.544
Birthday Cake,Dylan Conrique,63,"alt z, social media pop",188136,80,0.955,0.436,205280,0.255,3.28E-05,-8.623,113.265,0.15
KEEP IT BURNIN (feat. Kanye West),Future,89,"atl hip hop, rap, southern hip hop, trap",11585626,74,0.00861,0.652,207213,0.578,0,-6.187,87.395,0.195
I'd Do Anything To Make You Smile,Jack Harlow,88,"deep underground hip hop, kentucky hip hop, rap",2159939,75,0.012,0.832,193765,0.522,0.079,-7.244,150.044,0.253
From Austin,Zach Bryan,79,oklahoma country,416727,72,0.633,0.5,207453,0.485,1.26E-06,-7.94,109.755,0.379
Frozen,Lil Baby,88,"atl hip hop, atl trap, rap, trap",10549680,75,0.138,0.514,179149,0.65,0,-8.867,127.428,0.236
LOVE DIVE,IVE,71,"k-pop, k-pop girl group",647253,85,0.00379,0.703,177187,0.709,5.43E-05,-4.169,117.941,0.538
Memories,Conan Gray,79,"bedroom pop, pop",5632572,79,0.00979,0.34,248819,0.684,0,-6.306,112.969,0.556
Skyline,Khalid,84,"pop, pop r&b",15270505,78,0.0179,0.733,182895,0.653,0.0218,-6.094,119.996,0.752
The Foundations of Decay,My Chemical Romance,77,"emo, pop punk",6887614,77,0.000582,0.363,360760,0.67,0.548,-6.652,150.15,0.198
Thinking 'Bout You (feat. MacKenzie Porter),Dustin Lynch,67,"contemporary country, country, country road, modern country rock",1815984,73,0.137,0.403,170560,0.711,0,-4.189,203.803,0.801
With you,Jimin,70,,1211179,86,0.639,0.532,201905,0.426,0,-6.117,149.898,0.137
chaotic,Tate McRae,80,pop,2795593,78,0.59,0.412,178721,0.382,0,-7.023,81.493,0.318
"Come On, Let's Go (with Nigo)","Tyler, The Creator",84,"hip hop, rap",8832196,74,0.136,0.732,199500,0.734,0.000901,-7.968,145.722,0.488
Cooped Up (with Roddy Ricch),Post Malone,87,"dfw rap, melodic rap, rap",36990052,69,0.0399,0.644,185857,0.775,0,-5.679,93.707,0.372
Last Night Lonely,Jon Pardi,70,"contemporary country, country, country road, modern country rock",1407202,73,0.00496,0.646,181991,0.816,0,-2.65,102.972,0.865
Is There Someone Else?,The Weeknd,91,"canadian contemporary r&b, canadian pop, pop",45206489,78,0.0388,0.702,199111,0.586,7.27E-05,-7.83,134.951,0.608
Los Botones Azules,Junior H,78,"corridos tumbados, musica mexicana, nueva musica mexicana, sierreno",2814739,82,0.0877,0.784,135612,0.737,0,-2.174,97.5,0.623
Love & War,Kodak Black,81,"florida rap, hip hop, melodic rap, miami hip hop, rap, trap",8156804,73,0.58,0.762,239146,0.649,1.70E-05,-5.624,145.09,0.501
Sacrifice,The Weeknd,91,"canadian contemporary r&b, canadian pop, pop",45206489,82,0.0296,0.735,188918,0.795,3.18E-05,-6.523,122,0.905
LONDON (feat. J. Cole),BIA,68,"pop, pop rap, r&b, rap latina, trap queen",330114,75,0.0225,0.644,250723,0.671,0,-5.156,132.001,0.563
I Got A Shot,Jack Harlow,88,"deep underground hip hop, kentucky hip hop, rap",2159939,74,0.0784,0.973,138782,0.433,0,-6.605,120.055,0.933
Lover,Taylor Swift,92,pop,53613642,3,0.492,0.359,221307,0.543,1.57E-05,-7.582,68.505,0.453
Love Story (Taylor’s Version),Taylor Swift,92,pop,53613642,0,0.135,0.626,235767,0.79,3.97E-06,-4.302,119.082,0.416
You Belong With Me (Taylor’s Version),Taylor Swift,92,pop,53613642,0,0.0623,0.632,231124,0.773,0,-4.856,130.033,0.474
LIKE ME (feat. 42 Dugg & Lil Baby),Future,89,"atl hip hop, rap, southern hip hop, trap",11585626,73,0.00119,0.741,132987,0.788,0,-6.403,160.03,0.307
Lover,Taylor Swift,92,pop,53613642,4,0.492,0.359,221307,0.543,1.57E-05,-7.582,68.505,0.453
Young Harleezy,Jack Harlow,88,"deep underground hip hop, kentucky hip hop, rap",2159939,74,0.00882,0.841,224842,0.566,0,-5.501,95.941,0.269
Let's Get It (Remix) [feat. 21 Savage],Hunxho,57,,16717,73,0.0758,0.863,156996,0.499,0,-8.602,80.073,0.76
Heavy Eyes,Zach Bryan,79,oklahoma country,416727,70,0.032,0.471,190780,0.912,0,-3.032,139.667,0.613
Super Gremlin,Kodak Black,81,"florida rap, hip hop, melodic rap, miami hip hop, rap, trap",8156804,73,0.00265,0.825,200548,0.414,0,-6.634,72.993,0.106
SI SUPIERAS,Eslabon Armado,78,"corrido, corridos tumbados, nueva musica mexicana, sierreno",2165506,76,0.208,0.642,227815,0.768,0,-3.674,97.485,0.546
Already Dead,Juice WRLD,88,"chicago rap, melodic rap",24114636,75,0.0216,0.744,231221,0.495,0,-6.311,83.51,0.128
That's Hilarious,Charlie Puth,80,"dance pop, pop, viral pop",16205866,80,0.742,0.714,146855,0.442,0,-5.909,108.039,0.546
Scared Money (feat. J. Cole and Moneybagg Yo),YG,75,"cali rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",2849418,73,0.0101,0.898,204286,0.58,0,-7.632,84.018,0.661
MASSAGING ME,Future,89,"atl hip hop, rap, southern hip hop, trap",11585626,72,0.000189,0.916,106133,0.453,0,-4.148,145.007,0.152
Movie Star (feat. Pharrell Williams),Jack Harlow,88,"deep underground hip hop, kentucky hip hop, rap",2159939,74,0.00461,0.829,142590,0.488,0,-7.275,93.199,0.551
Lover,Taylor Swift,92,pop,53613642,1,0.492,0.359,221307,0.543,1.57E-05,-7.582,68.505,0.453
D.M.B.,A$AP Rocky,81,"east coast hip hop, hip hop, rap, trap",11190337,75,0.542,0.727,291612,0.616,4.47E-06,-8.487,140.014,0.392
City of Gods,Fivio Foreign,75,"brooklyn drill, hip hop, new york drill, rap, trap",941017,75,0.102,0.474,256000,0.801,0,-5.978,147.356,0.497
